prop_address_zipcode_1,pin,year,board_tot,board_tot_num
60618,14193260090000,2016,54637,54637
60618,13251230080000,2019,36456,36456
60618,13144080320000,2017,36009,36009
60618,13134130200000,2017,49140,49140
60618,14183290340000,2019,62544,62544
60618,13143320090000,2020,49749,49749
60618,13143210010000,2020,115420,115420
60618,13251300421008,2020,15104,15104
60618,14193290551008,2020,41333,41333
60618,13131320340000,2019,36360,36360
60618,13241220080000,2017,20627,20627
60618,14183220321002,2017,20553,20553
60618,13262100070000,2020,25511,25511
60618,14193090050000,2020,98966,98966
60618,14301060830000,2020,50087,50087
60618,13241210080000,2020,22142,22142
60618,13233080110000,2020,30649,30649
60618,14193270501003,2020,29439,29439
60618,13134050230000,2016,46297,46297
60618,14191050100000,2016,73386,73386
60618,13232040230000,2018,40052,40052
60618,13133280461039,2018,3397,3397
60618,14301060931070,2020,3038,3038
60618,14193130330000,2016,112835,112835
60618,13243050330000,2020,38979,38979
60618,13232240290000,2020,28034,28034
60618,13231110190000,2020,75899,75899
60618,13241190360000,2020,33137,33137
60618,13232290260000,2020,36131,36131
60618,13251120220000,2017,31872,31872
60618,13232270050000,2019,30461,30461
60618,13144290451011,2018,14719,14719
60618,13262160640000,2019,34637,34637
60618,13233150570000,2020,27509,27509
60618,14183230070000,2016,349342,349342
60618,13134090020000,2016,0,0
60618,13133280451013,2016,10700,10700
60618,13143270130000,2017,36199,36199
60618,14191120310000,2017,53771,53771
60618,14193210240000,2017,60557,60557
60618,13134010420000,2016,43816,43816
60618,13262200440000,2020,33970,33970
60618,13133210040000,2020,31734,31734
60618,13133220340000,2020,42834,42834
60618,13241300461014,2020,7293,7293
60618,13252250310000,2016,31735,31735
60618,13243220030000,2019,39770,39770
60618,13133130010000,2019,42939,42939
60618,13132330351007,2018,45045,45045
60618,13232180230000,2019,39817,39817
60618,13144040301002,2019,17139,17139
60618,14183100220000,2020,111107,111107
60618,13262140690000,2020,34810,34810
60618,13144250280000,2020,50843,50843
60618,13143050320000,2020,25410,25410
60618,13144150090000,2020,38410,38410
60618,13133190401002,2020,12358,12358
60618,14191000351014,2020,23846,23846
60618,13241030310000,2020,59878,59878
60618,13252100461002,2017,33120,33120
60618,14301170411065,2016,26196,26196
60618,13262030100000,2016,32120,32120
60618,13233100110000,2019,33257,33257
