prop_address_zipcode_1,pin,year
60618,14183270271035,2020
60618,14193080501006,2020
60618,13241110190000,2017
60618,14193060200000,2020
60618,13251300421011,2016
60618,13243090281024,2021
60618,13134070140000,2019
60618,13244041231018,2019
60618,14301190481013,2019
60618,13234100140000,2020
60618,14301190431003,2021
60618,13261140020000,2021
60618,13233010050000,2021
60618,13231120341001,2017
60618,13252080100000,2017
60618,13133140220000,2017
60618,13143070401033,2017
60618,13143070401015,2017
60618,13252070240000,2017
60618,13143290250000,2017
60618,13133000160000,2017
60618,13241110270000,2021
60618,13144150070000,2021
60618,13133010421007,2021
60618,14193040040000,2022
60618,13233230080000,2019
60618,13251100461008,2021
60618,13232190381001,2021
60618,13243110421002,2020
60618,14183160310000,2021
60618,13143070290000,2018
60618,13144280280000,2019
60618,13261000301312,2019
60618,13261000301114,2019
60618,14191040240000,2021
60618,13133250411002,2021
60618,13143010070000,2021
60618,13232070070000,2019
60618,13133100431012,2019
60618,13231100440000,2020
60618,14191000230000,2020
60618,13241170200000,2020
60618,13132330371002,2020
60618,14193310421004,2020
60618,13231130040000,2022
60618,13262080060000,2022
60618,13144240331011,2022
60618,13133070090000,2021
60618,13233140180000,2020
60618,13243130010000,2022
60618,14193210030000,2020
60618,13242090140000,2020
60618,13233320360000,2020
60618,14193160491003,2022
60618,13144130100000,2016
60618,13144310210000,2016
60618,13241010040000,2016
60618,14301160820000,2021
60618,13241310470000,2016
60618,14191030110000,2021
60618,13231000060000,2019
60618,14184060110000,2019
60618,14193260090000,2016
60618,13251230080000,2019
60618,13144080320000,2017
60618,13134130200000,2017
60618,14183290340000,2019
60618,14193230120000,2021
60618,13241200030000,2021
60618,13134190110000,2021
60618,13144000180000,2021
60618,14183100260000,2021
60618,13134140280000,2021
60618,13133030381023,2021
60618,13133030381009,2022
60618,13252010520000,2021
60618,13144180370000,2021
60618,13143320090000,2020
60618,13143210010000,2020
60618,13251300421008,2020
60618,14193290551008,2020
60618,13131320340000,2019
60618,13241010060000,2021
60618,13144230260000,2021
60618,13134130020000,2021
60618,13241220080000,2017
60618,14183220321002,2017
60618,13144050200000,2022
60618,13262100070000,2020
60618,14193090050000,2020
60618,14301060830000,2020
60618,13241210080000,2020
60618,13233080110000,2020
60618,14193270501003,2020
60618,13134050230000,2016
60618,14191050100000,2016
60618,13241040050000,2021
60618,13232040230000,2018
60618,13133280461039,2018
60618,13232230070000,2021
60618,13144020400000,2021
60618,14301060931070,2020
60618,13133230511001,2021
60618,13144270190000,2021
60618,13242090250000,2021
60618,14301160570000,2021
60618,14193130330000,2016
60618,13243050330000,2020
60618,13232240290000,2020
60618,13231110190000,2020
60618,13241190360000,2020
60618,13232290260000,2020
60618,13251120220000,2017
60618,13232270050000,2019
60618,13144290451011,2018
60618,13261300210000,2021
60618,13262200410000,2021
60618,13143280180000,2021
60618,13262160640000,2019
60618,13233150570000,2020
60618,13262160420000,2022
60618,13262140350000,2021
60618,13251300260000,2021
60618,13233220210000,2021
60618,13241190480000,2021
60618,14183290090000,2021
60618,14183230070000,2016
60618,13134090020000,2016
60618,13133280451013,2016
60618,13133200361007,2021
60618,14193250250000,2021
60618,14301190461019,2021
60618,13241000120000,2021
60618,13133240050000,2021
60618,13143270130000,2017
60618,14191120310000,2017
60618,14193210240000,2017
60618,13134010420000,2016
60618,14301160750000,2021
60618,13262200440000,2020
60618,13133210040000,2020
60618,13133220340000,2020
60618,13241300461014,2020
60618,13252250310000,2016
60618,13243220030000,2019
60618,13133130010000,2019
60618,13132330351007,2018
60618,13231130290000,2021
60618,13232180230000,2019
60618,13144040301002,2019
60618,13232290310000,2021
60618,14183100220000,2020
60618,13262140690000,2020
60618,13144250280000,2020
60618,13143050320000,2020
60618,13144150090000,2020
60618,13133190401002,2020
60618,14191000351014,2020
60618,13241030310000,2020
60618,13252100461002,2017
60618,14301170411065,2016
60618,13262030100000,2016
60618,13233100110000,2019
60618,14191000331011,2019
60618,13261090080000,2020
60618,13261270370000,2020
60618,13252270380000,2017
60618,13232220331006,2020
60618,14192270531001,2020
60618,13143080311003,2016
60618,13251030300000,2016
60618,13134180190000,2022
60618,13133130381006,2022
60618,14301200250000,2021
60618,13233190150000,2021
60618,13133070441005,2016
60618,14193170190000,2016
60618,13252100390000,2016
60618,13262000350000,2016
60618,14191050371001,2022
60618,13241120391002,2022
60618,14183300070000,2022
60618,14193280270000,2017
60618,14301180351028,2017
60618,14191260170000,2021
60618,14301170421006,2021
60618,13233050190000,2022
60618,13241190440000,2022
60618,14193310381003,2016
60618,14301061061017,2021
60618,13251170130000,2022
60618,13232100010000,2021
60618,13232080130000,2021
60618,13144180450000,2021
60618,14191250260000,2021
60618,14301130170000,2019
60618,13261160741003,2019
60618,13144290240000,2020
60618,13241110090000,2020
60618,14183280031046,2016
60618,13261150480000,2016
60618,13241220420000,2021
60618,14191120170000,2021
60618,13133240260000,2021
60618,13252150150000,2019
60618,13243110240000,2019
60618,13262260341007,2019
60618,13232180300000,2021
60618,13261190020000,2021
60618,13244042060000,2020
60618,13242020461003,2020
60618,13133280461051,2020
60618,14183000451001,2020
60618,14193120010000,2021
60618,13233080340000,2021
60618,13134060140000,2021
60618,13251150340000,2022
60618,13143240340000,2022
60618,13261000301140,2018
60618,13261000301104,2018
60618,13261000301041,2018
60618,13261150140000,2020
60618,14193260150000,2020
60618,14301010381006,2021
60618,13232180350000,2021
60618,13144220441004,2021
60618,13233130160000,2021
60618,14183100060000,2020
60618,14301010370000,2020
60618,13252100461001,2020
60618,13242090090000,2021
60618,13143140100000,2021
60618,13133060270000,2021
60618,13232310120000,2021
60618,14183290440000,2020
60618,14191020150000,2020
60618,13241110160000,2020
60618,13252030581001,2021
60618,14183280031077,2021
60618,13252030581005,2021
60618,13232190040000,2022
60618,14193250320000,2020
60618,13243090130000,2020
60618,13251220511003,2020
60618,13262200390000,2022
60618,13133300341003,2021
60618,14183200360000,2021
60618,14302050491003,2021
60618,13134060600000,2021
60618,13143240421004,2016
60618,13143150411003,2016
60618,13261020320000,2017
60618,13241230150000,2017
60618,13143050401017,2017
60618,13232190381006,2019
60618,13133230250000,2019
60618,14191070110000,2019
60618,13144290481050,2017
60618,14193070140000,2020
60618,13251200300000,2017
60618,13233180350000,2021
60618,14191100190000,2021
60618,13252300340000,2021
60618,13133280040000,2019
60618,14183080400000,2019
60618,13251090200000,2021
60618,13232120160000,2021
60618,13262130490000,2022
60618,13144280421007,2017
60618,13261200360000,2018
